Institution,Year Invited,Humanities Center,Center URL,Programs,
Georgia Institute of Technology,2010,,,,X
Indiana University,1909,,,,X
Michigan State University,1964,,,,X
The Ohio State University,1916,,,,X
The Pennsylvania State University,1958,,,,X
Purdue University,1958,,,,X
Rutgers University – New Brunswick,1989,,,,X
Stony Brook University – The State University of New York,2001,,,,X
Texas A&M University,2001,,,,X
University at Buffalo – The State University of New York,1989,,,,X
The University of Arizona,1985,,,,X
"University of California, Davis",1996,,,,X
"University of California, Berkeley",1900,,,,X
"University of California, Irvine",1996,,,,X
"University of California, Los Angeles",1974,,,,X
"University of California, San Diego",1982,,,,X
"University of California, Santa Barbara",1995,,,,X
"University of California, Santa Cruz",2019,,,,X
"University of Colorado, Boulder",1966,,,,X
University of Florida,1985,,,,X
University of Illinois at Urbana-Champaign,1908,,,,X
The University of Iowa,1909,,,,X
The University of Kansas,1909,,,,X
University of Maryland at College Park,1969,,,,X
University of Michigan,1900,,,,X
"University of Minnesota, Twin Cities",1908,,,,X
"University of Missouri, Columbia",1908,,,,X
The University of North Carolina at Chapel Hill,1922,,,,X
University of Oregon,1969,,,,X
University of Pittsburgh,1974,,,,X
The University of Texas at Austin,1929,,,,X
The University of Utah,2019,,,,X
University of Virginia,1904,,,,X
University of Washington,1950,,,,X
The University of Wisconsin – Madison,1900,,,,X
